,repo_id,time,first_treat,treat,ttc_d,count,id,post,y0_1,y0_2,y0_3,y0_4,age,size,watchers,forks,has_wiki
0,8514,1,5,1,39.68697027716995,457,1,0,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
1,8514,2,5,1,64.2120906466219,364,1,0,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
2,8514,3,5,1,67.81225025879917,322,1,0,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
3,8514,4,5,1,92.51753029100529,350,1,0,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
4,8514,5,5,1,57.028377292340885,515,1,1,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
5,8514,6,5,1,54.18528636695906,380,1,1,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
6,8514,7,5,1,63.76666524634949,383,1,1,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
7,8514,8,5,1,49.31349643640351,304,1,1,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
8,8514,9,5,1,40.24053186203219,382,1,1,39.68697027716995,64.2120906466219,67.81225025879917,92.51753029100529,2867.902928240741,274356,54624,21238,False
9,65252,1,5,1,59.55917976939203,212,2,0,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
10,65252,2,5,1,67.08139362787985,127,2,0,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
11,65252,3,5,1,67.3854013560805,127,2,0,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
12,65252,4,5,1,49.79584675925926,175,2,0,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
13,65252,5,5,1,46.01971380471381,231,2,1,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
14,65252,6,5,1,27.904250484144274,153,2,1,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
15,65252,7,5,1,63.862846693121696,175,2,1,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
16,65252,8,5,1,60.2505861048123,147,2,1,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
17,65252,9,5,1,42.918661616161614,143,2,1,59.55917976939203,67.08139362787985,67.3854013560805,49.79584675925926,2675.729826388889,62104,48017,9839,True
18,108278,1,5,1,79.80452202041785,195,3,0,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
19,108278,2,5,1,113.18315936718929,163,3,0,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
20,108278,3,5,1,63.79888198178017,124,3,0,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
21,108278,4,5,1,76.83192581300814,123,3,0,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
22,108278,5,5,1,66.81255049348799,91,3,1,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
23,108278,6,5,1,172.4793828589392,81,3,1,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
24,108278,7,5,1,55.964197809278346,97,3,1,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
25,108278,8,5,1,53.1329115948814,89,3,1,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
26,108278,9,5,1,134.72313398286346,67,3,1,79.80452202041785,113.18315936718929,63.79888198178017,76.83192581300814,2588.1383333333333,297179,7425,2500,True
27,143580,1,9,0,128.30724137205388,110,4,0,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
28,143580,2,9,0,97.55140176098995,107,4,0,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
29,143580,3,9,0,84.6780124950219,93,4,0,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
30,143580,4,9,0,49.73336142163505,82,4,0,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
31,143580,5,9,0,50.58463377343393,81,4,1,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
32,143580,6,9,0,31.12854823272792,104,4,1,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
33,143580,7,9,0,24.35765993265993,77,4,1,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
34,143580,8,9,0,36.96545250178063,52,4,1,128.30724137205388,97.55140176098995,84.6780124950219,49.73336142163505,2539.5734027777776,104974,9768,3014,False
